"","MisspecVec","HomoskedVec","SizeVec","LeverageVec","KVec","TypeSetting","JobName","Output"
"1",0,0,50,0,1,"Linear","Sim_Linear_D0_G0_N50_R0_K1","Results/Linear/LargeSampleExtension/sim_D0_G0_N50_R0_K1.rds"
"2",1,0,50,0,1,"Linear","Sim_Linear_D1_G0_N50_R0_K1","Results/Linear/LargeSampleExtension/sim_D1_G0_N50_R0_K1.rds"
"3",0,0.5,50,0,1,"Linear","Sim_Linear_D0_G0.5_N50_R0_K1","Results/Linear/LargeSampleExtension/sim_D0_G0.5_N50_R0_K1.rds"
"4",1,0.5,50,0,1,"Linear","Sim_Linear_D1_G0.5_N50_R0_K1","Results/Linear/LargeSampleExtension/sim_D1_G0.5_N50_R0_K1.rds"
"5",0,0,200,0,1,"Linear","Sim_Linear_D0_G0_N200_R0_K1","Results/Linear/LargeSampleExtension/sim_D0_G0_N200_R0_K1.rds"
"6",1,0,200,0,1,"Linear","Sim_Linear_D1_G0_N200_R0_K1","Results/Linear/LargeSampleExtension/sim_D1_G0_N200_R0_K1.rds"
"7",0,0.5,200,0,1,"Linear","Sim_Linear_D0_G0.5_N200_R0_K1","Results/Linear/LargeSampleExtension/sim_D0_G0.5_N200_R0_K1.rds"
"8",1,0.5,200,0,1,"Linear","Sim_Linear_D1_G0.5_N200_R0_K1","Results/Linear/LargeSampleExtension/sim_D1_G0.5_N200_R0_K1.rds"
"9",0,0,350,0,1,"Linear","Sim_Linear_D0_G0_N350_R0_K1","Results/Linear/LargeSampleExtension/sim_D0_G0_N350_R0_K1.rds"
"10",1,0,350,0,1,"Linear","Sim_Linear_D1_G0_N350_R0_K1","Results/Linear/LargeSampleExtension/sim_D1_G0_N350_R0_K1.rds"
"11",0,0.5,350,0,1,"Linear","Sim_Linear_D0_G0.5_N350_R0_K1","Results/Linear/LargeSampleExtension/sim_D0_G0.5_N350_R0_K1.rds"
"12",1,0.5,350,0,1,"Linear","Sim_Linear_D1_G0.5_N350_R0_K1","Results/Linear/LargeSampleExtension/sim_D1_G0.5_N350_R0_K1.rds"
"13",0,0,500,0,1,"Linear","Sim_Linear_D0_G0_N500_R0_K1","Results/Linear/LargeSampleExtension/sim_D0_G0_N500_R0_K1.rds"
"14",1,0,500,0,1,"Linear","Sim_Linear_D1_G0_N500_R0_K1","Results/Linear/LargeSampleExtension/sim_D1_G0_N500_R0_K1.rds"
"15",0,0.5,500,0,1,"Linear","Sim_Linear_D0_G0.5_N500_R0_K1","Results/Linear/LargeSampleExtension/sim_D0_G0.5_N500_R0_K1.rds"
"16",1,0.5,500,0,1,"Linear","Sim_Linear_D1_G0.5_N500_R0_K1","Results/Linear/LargeSampleExtension/sim_D1_G0.5_N500_R0_K1.rds"
